0.0590000000, 0.3706230318, -0.0016659047, 0.3722889365,-6.2789412325,-0.0466983079
0.0600000000, 0.3769018267, -0.0017129312, 0.3786147579,-6.2787949164,-0.0470264919
0.0610000000, 0.3831804728, -0.0017602705, 0.3849407433,-6.2786461216,-0.0473393237
0.0620000000, 0.3894589677, -0.0018079073, 0.3912668750,-6.2784948480,-0.0476368088
0.0630000000, 0.3957373088, -0.0018558263, 0.3975931351,-6.2783410957,-0.0479189522
0.0640000000, 0.4020154936, -0.0019040120, 0.4039195057,-6.2781848649,-0.0481857592
0.0650000000, 0.4082935198, -0.0019524493, 0.4102459691,-6.2780261556,-0.0484372353
0.0660000000, 0.4145713848, -0.0020011227, 0.4165725074,-6.2778649678,-0.0486733857
0.0670000000, 0.4208490861, -0.0020500169, 0.4228991029,-6.2777013015,-0.0488942158
0.0680000000, 0.4271266212, -0.0020991166, 0.4292257378,-6.2775351570,-0.0490997313
0.0690000000, 0.4334039877, -0.0021484066, 0.4355523943,-6.2773665342,-0.0492899374
0.0700000000, 0.4396811832, -0.0021978714, 0.4418790546,-6.2771954331,-0.0494648398
0.0710000000, 0.4459582050, -0.0022474958, 0.4482057009,-6.2770218540,-0.0496244441
0.0720000000, 0.4522350508, -0.0022972646, 0.4545323154,-6.2768457967,-0.0497687559
0.0730000000, 0.4585117181, -0.0023471624, 0.4608588805,-6.2766672615,-0.0498977808
0.0740000000, 0.4647882043, -0.0023971739, 0.4671853782,-6.2764862483,-0.0500115246
0.0750000000, 0.4710645071, -0.0024472839, 0.4735117910,-6.2763027573,-0.0501099931
0.0760000000, 0.4773406239, -0.0024974771, 0.4798381010,-6.2761167885,-0.0501931920
0.0770000000, 0.4836165522, -0.0025477382, 0.4861642904,-6.2759283420,-0.0502611272
0.0780000000, 0.4898922896, -0.0025980520, 0.4924903417,-6.2757374178,-0.0503138047
0.0790000000, 0.4961678337, -0.0026484032, 0.4988162369,-6.2755440161,-0.0503512302
0.0800000000, 0.5024431818, -0.0026987767, 0.5051419585,-6.2753481369,-0.0503734099
0.0810000000, 0.5087183316, -0.0027491570, 0.5114674886,-6.2751497803,-0.0503803496
0.0820000000, 0.5149932805, -0.0027995291, 0.5177928096,-6.2749489463,-0.0503720556
0.0830000000, 0.5212680262, -0.0028498776, 0.5241179038,-6.2747456352,-0.0503485339
0.0840000000, 0.5275425660, -0.0029001874, 0.5304427534,-6.2745398468,-0.0503097906
0.0850000000, 0.5338168976, -0.0029504432, 0.5367673408,-6.2743315813,-0.0502558319
0.0860000000, 0.5400910184, -0.0030006299, 0.5430916483,-6.2741208389,-0.0501866642
0.0870000000, 0.5463649260, -0.0030507322, 0.5494156582,-6.2739076195,-0.0501022936
0.0880000000, 0.5526386180, -0.0031007349, 0.5557393529,-6.2736919233,-0.0500027265
0.0890000000, 0.5589120917, -0.0031506229, 0.5620627146,-6.2734737503,-0.0498879692
0.0900000000, 0.5651853448, -0.0032003809, 0.5683857257,-6.2732531007,-0.0497580282
0.0910000000, 0.5714583748, -0.0032499938, 0.5747083686,-6.2730299744,-0.0496129099
0.0920000000, 0.5777311792, -0.0032994464, 0.5810306256,-6.2728043717,-0.0494526208
0.0930000000, 0.5840037555, -0.0033487236, 0.5873524791,-6.2725762926,-0.0492771674
0.0940000000, 0.5902761012, -0.0033978102, 0.5936739113,-6.2723457372,-0.0490865564
0.0950000000, 0.5965482139, -0.0034466909, 0.5999949048,-6.2721127055,-0.0488807943
0.0960000000, 0.6028200911, -0.0034953508, 0.6063154419,-6.2718771977,-0.0486598878
0.0970000000, 0.6090917303, -0.0035437747, 0.6126355050,-6.2716392139,-0.0484238436
0.0980000000, 0.6153631291, -0.0035919473, 0.6189550764,-6.2713987541,-0.0481726685
0.0990000000, 0.6216342849, -0.0036398537, 0.6252741386,-6.2711558185,-0.0479063692
0.1000000000, 0.6279051953, -0.0036874787, 0.6315926740,-6.2709104071,-0.0476249527
0.1010000000, 0.6341758578, -0.0037348071, 0.6379106649,-6.2706625201,-0.0473284257
0.1020000000, 0.6404462700, -0.0037818239, 0.6442280939,-6.2704121575,-0.0470167952
0.1030000000, 0.6467164293, -0.0038285140, 0.6505449432,-6.2701593195,-0.0466900682
0.1040000000, 0.6529863333, -0.0038748622, 0.6568611955,-6.2699040061,-0.0463482516
0.1050000000, 0.6592559795, -0.0039208536, 0.6631768331,-6.2696462174,-0.0459913526
0.1060000000, 0.6655253655, -0.0039664729, 0.6694918384,-6.2693859536,-0.0456193781
0.1070000000, 0.6717944887, -0.0040117053, 0.6758061940,-6.2691232147,-0.0452323354
0.1080000000, 0.6780633467, -0.0040565355, 0.6821198822,-6.2688580009,-0.0448302316
0.1090000000, 0.6843319370, -0.0041009486, 0.6884328856,-6.2685903122,-0.0444130739
0.1100000000, 0.6906002571, -0.0041449295, 0.6947451866,-6.2683201488,-0.0439808697
0.1110000000, 0.6968683047, -0.0041884631, 0.7010567677,-6.2680475108,-0.0435336261
0.1120000000, 0.7031360771, -0.0042315344, 0.7073676115,-6.2677723982,-0.0430713505
0.1130000000, 0.7094035719, -0.0042741285, 0.7136777003,-6.2674948112,-0.0425940504
0.1140000000, 0.7156707866, -0.0043162302, 0.7199870168,-6.2672147499,-0.0421017331
0.1150000000, 0.7219377188, -0.0043578246, 0.7262955434,-6.2669322144,-0.0415944061
0.1160000000, 0.7282043660, -0.0043988967, 0.7326032627,-6.2666472049,-0.0410720770
0.1170000000, 0.7344707258, -0.0044394314, 0.7389101572,-6.2663597213,-0.0405347532
0.1180000000, 0.7407367955, -0.0044794139, 0.7452162094,-6.2660697639,-0.0399824424
0.1190000000, 0.7470025729, -0.0045188290, 0.7515214019,-6.2657773327,-0.0394151523
0.1200000000, 0.7532680553, -0.0045576619, 0.7578257172,-6.2654824279,-0.0388328904
0.1210000000, 0.7595332403, -0.0045958976, 0.7641291379,-6.2651850496,-0.0382356645
0.1220000000, 0.7657981255, -0.0046335211, 0.7704316466,-6.2648851980,-0.0376234825
0.1230000000, 0.7720627084, -0.0046705174, 0.7767332258,-6.2645828730,-0.0369963520
